#####
thunder01
VR_P0_VOUT       | 0.976      | Volts      | ok    | na        | 0.784     | 0.832     | 1.056     | 1.104     | na        
VR_D_AC_P12V     | 11.875     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_AC_P3V3     | 3.315      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_AC_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_D_BD_P12V     | 12.000     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_BD_P3V3     | 3.335      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_BD_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_P1_VIN        | 11.750     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_P1_VOUT       | 0.976      | Volts      | ok    | na        | 0.784     | 0.832     | 1.056     | 1.104     | na        
VR_D_EG_P12V     | 12.000     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_EG_P3V3     | 3.335      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_EG_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_D_FH_P12V     | 11.875     | Volts      | ok    | na        | 10.375    | 10.750    | 13.250    | 13.625    | na        
VR_D_FH_P3V3     | 3.335      | Volts      | ok    | na        | 2.828     | 2.964     | 3.627     | 3.764     | na        
VR_D_FH_VOUT     | 1.217      | Volts      | ok    | na        | 1.030     | 1.076     | 1.326     | 1.373     | na        
VR_P0_IOUT       | 57.000     | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_AC_IOUT     | 0.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_BD_IOUT     | 0.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_P1_IOUT       | 63.000     | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_EG_IOUT     | 0.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
VR_D_FH_IOUT     | 0.000      | Amps       | ok    | na        | na        | na        | 228.000   | 248.000   | na        
BPB_FAN05        | 9500.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN06        | 7700.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN07        | 9500.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN08        | 7600.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN09        | 10000.000  | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN10        | 7700.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN11        | 9500.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN12        | 7700.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN13        | 9700.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
BPB_FAN14        | 7800.000   | RPM        | ok    | na        | 800.000   | 1000.000  | na        | na        | na        
CPU0             | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
CPU1             | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
PSU1             | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
PSU2             | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
MB_TEMP1         | 53.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 75.000    | 80.000    | na        
MB_TEMP2         | 46.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 75.000    | 80.000    | na        
MB_TEMP3         | 44.000     | degrees C  | ok    | na        | 0.000     | 5.000     | 75.000    | 80.000    | na        
SEL              | 0x0        | discrete   | 0x2080| na        | na        | na        | na        | na        | na        
#####
snow01
Watchdog         | 0x0        | discrete   | 0x0080| na        | na        | na        | na        | na        | na        
SEL              | 0x0        | discrete   | 0x1080| na        | na        | na        | na        | na        | na        
PSU1_PWR_OUT     | 52.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU1_PWR_IN      | 60.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU2_PWR_OUT     | 32.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
PSU2_PWR_IN      | 44.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
CORE_PWR         | 188.000    | Watts      | ok    | na        | na        | na        | 212.000   | 240.000   | 256.000   
SOC_VOL          | 0.744      | Volts      | ok    | na        | 0.704     | 0.712     | 0.792     | 0.800     | na        
CORE_VOL         | 0.824      | Volts      | ok    | 0.712     | 0.688     | 0.680     | 1.120     | 1.160     | 1.184     
CPUDIMMG0_VOL    | 1.200      | Volts      | ok    | na        | 1.136     | 1.168     | 1.232     | 1.264     | na        
CPUDIMMG1_VOL    | 1.200      | Volts      | ok    | na        | 1.136     | 1.168     | 1.232     | 1.264     | na        
SOC_PWR          | 24.000     | Watts      | ok    | na        | na        | na        | na        | na        | na        
CPUDIMMG0_PWR    | 8.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
CPUDIMMG1_PWR    | 5.000      | Watts      | ok    | na        | na        | na        | na        | na        | na        
CPU0_Status      | 0x0        | discrete   | 0x8080| na        | na        | na        | na        | na        | na        
SOC_TEMP         | 36.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 88.000    | 93.000    | 127.000   
CORE_VRD_TEMP    | 38.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 88.000    | 93.000    | 127.000   
CPU_DIMMG0_TEMP  | 36.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
CPU_DIMMG1_TEMP  | 36.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 84.000    | 87.000    | 127.000   
M2_G0_AMB_TEMP   | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 0.000     | 100.000   | 105.000   | 127.000   
FRONT_PANEL_TEMP | 30.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
MB_CPU_OUT_TEMP  | 32.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
MB_CPU_IN_TEMP   | 34.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
MB_ETH_TEMP      | 33.000     | degrees C  | ok    | -128.000  | 0.000     | 5.000     | 85.000    | 90.000    | 127.000   
SYS_FAN3         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
SYS_FAN4         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
SYS_FAN1         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
SYS_FAN2         | 4200.000   | RPM        | ok    | 0.000     | 150.000   | 300.000   | 38250.000 | 38250.000 | 38250.000 
PS1_Status       | 0x0        | discrete   | 0x0180| na        | na        | na        | na        | na        | na        
